Username,Last Name,First Name,Lab 01 Points Grade <Numeric MaxPoints:10 Weight:12.5 Category:In-Lab Assignment CategoryWeight:20>,End-of-Line Indicator
#TTiger,Tigertongue,Tim,100.0,#
#Patrick97,Pearson,Patrick,0,#
#Towhander,Twohands,Tony,75.0,#
#Zain1997,Zodson,Zain,0,#
#Spotnik,Swordholder,Spot,0,#
#Doormaker,Door,Dan,0,#
#Coopercat,Cooper,Cain,,#
#Hammermann,Odinson,Thor,,#
#Hammermann2,Odinson,Thor,,#
#AA,Adams,Alex,0,#
#^\w(?:\w*(?:[.-]\w+)?)*(?<=^.{432})$hhasdahs112321hasd131231^\w(?:\w*(?:[.-]\w+)?)*(?<=^.{432})$,Hyper,Space bar,,#
#CastleSword03,Vampireson,Alucard,0,#
#TarkovIsAwesone,Handerson,Timb,62.5,#
#OverflowNumer,Over,Flow,0,#
#BadProgrammer,Anderson,Endless,,#
#WorseProgrammer,Anderson,Endless,,#
#WorstProgrammer,Anderson,Endless,,#
#UAEPM,Al Maktoum,Mohammed bin Rashid,100.0,#
#ds_m3santos,Santos,Marcus,100.0,#
